"Brand_Reg","Model_No","SoldIn","Country","screensize","Screen_Area","Screen_Tech","Pasv_stnd_power","Avg_mode_power","Labelled energy consumption (kWh/year)","SubmitStatus","Product Class","Availability Status","Star2","Star Rating Index","Power supply","Brand_Reg_Upper","screensize_by_inches","Screensize category"
"LG","75UT811C0LA","Australia,New Zealand","Indonesia,South Korea",189.275,15307.5663,"LCD (LED)","0.4",165,605,"Approved","Single product class","Available",5,5.054540009525431,"Internal","LG",74.51771653543307,"70+ inch"
"LG","86UT801C0SB","Australia,New Zealand","Indonesia,South Korea",217.425,20200.7,"LCD (LED)","0.4",212,776,"Approved","Single product class","Available",5,5.134275172185824,"Internal","LG",85.60039370078741,"70+ inch"
"LG","86UT811C0LA","Australia,New Zealand","Indonesia,South Korea",217.425,20200.7,"LCD (LED)","0.4",212,776,"Approved","Single product class","Available",5,5.134275172185824,"Internal","LG",85.60039370078741,"70+ inch"
"EKO","K75USWW","Australia,Fiji,New Zealand","China",189.34,15318.517823999999,"LCD","-",162.1,600,"Approved","Single product class","Available",5,5.094795270514794,"Internal","EKO",74.54330708661418,"70+ inch"
"AOA","LTW40FHD","Australia,Fiji,New Zealand","China",100.336,4259.791648,"LCD","-",47.23,176,"Approved","Single product class","Available",5,5.337279013508535,"Internal","AOA",39.502362204724406,"40 inch"
"AOA","LTW32HD","Australia,Fiji,New Zealand","China",80.039,2736.7112736,"LCD","-",31.92,119,"Approved","Single product class","Available",5,5.447255105927289,"Internal","AOA",31.511417322834646,"32 inch"
"AIWA","AWS500G","Australia","China",125.731,6754.867344,"OLED","0.35",64.6,276,"Approved","Single product class","Available",5,5.1471093957013325,"Internal","AIWA",49.5003937007874,"48 inch"
"EKO","K550UAT","Australia,Fiji,New Zealand","China",138.798,8228,"LCD","0.4",110.12,404,"Approved","Single product class","Available",4,4.247706889147649,"Internal","EKO",54.64488188976378,"50 inch"
"EKO","K550UATW","Australia,Fiji,New Zealand","China",138.798,8228,"LCD","0.4",110.12,404,"Approved","Single product class","Available",4,4.247706889147649,"Internal","EKO",54.64488188976378,"50 inch"
"Kogan","KALED100T96QA","Australia,Fiji,New Zealand","China,Vietnam",253.136,27304.25509,"LCD (LED)","-",379.07,1497,"Approved","Single product class","Available",3.5,3.5008157002390408,"Internal","KOGAN",99.65984251968504,"70+ inch"
"Kogan","KALED100T96QB","Australia,Fiji,New Zealand","China,Vietnam",253.136,27304.25509,"LCD (LED)","-",379.07,1497,"Approved","Single product class","Available",3.5,3.5008157002390408,"Internal","KOGAN",99.65984251968504,"70+ inch"
"Kogan","KALED100T96QC","Australia,Fiji,New Zealand","China,Vietnam",253.136,27304.25509,"LCD (LED)","-",379.07,1497,"Approved","Single product class","Available",3.5,3.5008157002390408,"Internal","KOGAN",99.65984251968504,"70+ inch"
"Kogan","KAQL100T96QA","Australia,Fiji,New Zealand","China,Vietnam",253.136,27304.25509,"LCD (LED)","-",379.07,1497,"Approved","Single product class","Available",3.5,3.5008157002390408,"Internal","KOGAN",99.65984251968504,"70+ inch"
"Kogan","KAQL100T96QB","Australia,Fiji,New Zealand","China,Vietnam",253.136,27304.25509,"LCD (LED)","-",379.07,1497,"Approved","Single product class","Available",3.5,3.5008157002390408,"Internal","KOGAN",99.65984251968504,"70+ inch"
"Kogan","KAQL100T96QC","Australia,Fiji,New Zealand","China,Vietnam",253.136,27304.25509,"LCD (LED)","-",379.07,1497,"Approved","Single product class","Available",3.5,3.5008157002390408,"Internal","KOGAN",99.65984251968504,"70+ inch"
"Kogan","**********100**********","Australia,Fiji,New Zealand","China,Vietnam",253.136,27304.25509,"LCD (LED)","-",379.07,1497,"Approved","Single product class","Available",3.5,3.5008157002390408,"Internal","KOGAN",99.65984251968504,"70+ inch"
"Kogan","KAQL70T96QA","Australia,Fiji,New Zealand","China,Vietnam",176.538,13380.468019200001,"LCD (LED)","-",138.82,538,"Approved","Single product class","Available",5,5.005691320259438,"Internal","KOGAN",69.50314960629922,"70+ inch"
"Kogan","KAQL70T96QB","Australia,Fiji,New Zealand","China,Vietnam",176.538,13380.468019200001,"LCD (LED)","-",138.82,538,"Approved","Single product class","Available",5,5.005691320259438,"Internal","KOGAN",69.50314960629922,"70+ inch"
"Kogan","KAQL70T96QC","Australia,Fiji,New Zealand","China,Vietnam",176.538,13380.468019200001,"LCD (LED)","-",138.82,538,"Approved","Single product class","Available",5,5.005691320259438,"Internal","KOGAN",69.50314960629922,"70+ inch"
"Kogan","KAQL70T96QD","Australia,Fiji,New Zealand","China,Vietnam",176.538,13380.468019200001,"LCD (LED)","-",138.82,538,"Approved","Single product class","Available",5,5.005691320259438,"Internal","KOGAN",69.50314960629922,"70+ inch"
"Kogan","**********70**********","Australia,Fiji,New Zealand","China,Vietnam",176.538,13380.468019200001,"LCD (LED)","-",138.82,538,"Approved","Single product class","Available",5,5.005691320259438,"Internal","KOGAN",69.50314960629922,"70+ inch"
"TCL","85C655","Australia,Fiji,New Zealand","China",214.783,19712.16,"LCD (LED)","0.378",191,840,"Approved","Single product class","Available",4.5,4.673133217698123,"Internal","TCL",84.56023622047243,"70+ inch"
"HISENSE","70A6NNZ","Australia,New Zealand","China",176.537,13380.450588,"LCD (LED)","0.35",103.99,430,"Approved","Single product class","Available",6,6.0098525976602755,"Internal","HISENSE",69.50275590551182,"70+ inch"
